=== VULNERABLE (cleaned) ===
Lib_Network\s_COdbcGameChaDelete.cpp:43 [printf] HIGH | {call sp_UserCheckPass(%d,'%s', ?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_UserCheckPass(%d,'%s', ?)}", nUsrNum, szPass2 );
Lib_Network\s_COdbcGameInven.cpp:46 [printf] HIGH | Update UserInven Set ChaStorage4='%s' WHERE UserNu | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "Update UserInven Set ChaStorage4='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcGameInven.cpp:505 [printf] HIGH | Exec sp_InsertUserLastInfo %u, '%s' | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp2, 512, "Exec sp_InsertUserLastInfo %u, '%s'",
Lib_Network\s_COdbcGamePet.cpp:53 [printf] HIGH | {call sp_InsertPet('%s',%d,%d,%d,%d,%d,%d,%d,%d,?) | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_InsertPet('%s',%d,%d,%d,%d,%d,%d,%d,%d,?)}",
Lib_Network\s_COdbcGamePet.cpp:97 [printf] HIGH | {call sp_RenamePet(%d,%d,'%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_RenamePet(%d,%d,'%s',?)}", nChaNum, nPetNum, szPetNameTemp );
Lib_Network\s_COdbcLog.cpp:223 [printf] HIGH | {call InsertLogHackProgram(%d,%d,%d,%d,%d,'%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 512, "{call InsertLogHackProgram(%d,%d,%d,%d,%d,'%s',?)}",
Lib_Network\s_COdbcLogEvent.cpp:22 [printf] HIGH | {call sp_lottery_check('%s','%s','%s',%d,?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_lottery_check('%s','%s','%s',%d,?)}",
Lib_Network\s_COdbcLogEvent.cpp:45 [printf] HIGH | {call sp_LogPungPung('%s','%s',%d,%d)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_LogPungPung('%s','%s',%d,%d)}",
Lib_Network\s_COdbcLogEvent.cpp:71 [printf] HIGH | {call sp_PungPungCheck('%s',%d,?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_PungPungCheck('%s',%d,?)}",
Lib_Network\s_COdbcLogEvent.cpp:174 [printf] HIGH | {call sp_InsertItem('%s','%s',%d,%d,?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_InsertItem('%s','%s',%d,%d,?)}",
Lib_Network\s_COdbcShop.cpp:105 [printf] HIGH | {call sp_purchase_change_state('%s',%d,?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call sp_purchase_change_state('%s',%d,?)}", strPurKey.GetString(), nFlag );
Lib_Network\s_COdbcShop.cpp:277 [printf] HIGH | {call sp_ItemMallBuy(%d,%d,%d,'%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_ItemMallBuy(%d,%d,%d,'%s',?)}",
Lib_Network\s_COdbcShop.cpp:366 [printf] HIGH | SELECT CardSTATUS, CardVALUE, UserTopUp FROM TopUp | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT CardSTATUS, CardVALUE, UserTopUp FROM TopUp WHERE CardID='%s'", strCode.GetString() );
Lib_Network\s_COdbcSMS.cpp:43 [printf] HIGH | {call sp_LogSms_Insert(%d,'',%d,'%s','%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call sp_LogSms_Insert(%d,'',%d,'%s','%s',?)}",
Lib_Network\s_COdbcSMS.cpp:80 [printf] HIGH | {call UpdateChaFriendSms(%d,'%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call UpdateChaFriendSms(%d,'%s',?)}", nChaNum, szPhoneNumber );
Lib_Network\s_COdbcSupervisor.cpp:585 [printf] HIGH | SELECT %s FROM PetInfo where (PetNum=%d And PetCha | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "SELECT %s FROM PetInfo where (PetNum=%d And PetChaNum=%d)", objName, nPetNum, nChaNum );
Lib_Network\s_COdbcSupervisor.cpp:657 [printf] HIGH | SELECT %s FROM VehicleInfo where (VehicleNum=%d) A | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "SELECT %s FROM VehicleInfo where (VehicleNum=%d) And (VehicleChaNum=%d)", objName, nVehicleNum,
Lib_Network\s_COdbcSupervisor.cpp:728 [printf] HIGH | SELECT %s FROM ChaInfo where (ChaNum=%d) | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "SELECT %s FROM ChaInfo where (ChaNum=%d)", objName, nChaNum );
Lib_Network\s_COdbcUser.cpp:143 [printf] MEDIUM(no-exec-in-window) | UPDATE DaumUserInfo WITH (UPDLOCK) SET ChatBlockDa | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE DaumUserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString(
Lib_Network\s_COdbcUser.cpp:148 [printf] MEDIUM(no-exec-in-window) | UPDATE JapanUserInfo WITH (UPDLOCK) SET ChatBlockD | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE JapanUserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString
Lib_Network\s_COdbcUser.cpp:155 [printf] HIGH | UPDATE TerraUserInfo WITH (UPDLOCK) SET ChatBlockD | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE TerraUserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString
Lib_Network\s_COdbcUser.cpp:162 [printf] HIGH | UPDATE TerraUserInfo WITH (UPDLOCK) SET ChatBlockD | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE TerraUserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString
Lib_Network\s_COdbcUser.cpp:169 [printf] HIGH | UPDATE UserInfo WITH (UPDLOCK) SET ChatBlockDate=' | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE UserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString(), n
Lib_Network\s_COdbcUser.cpp:176 [printf] HIGH | UPDATE GspUserInfo WITH (UPDLOCK) SET ChatBlockDat | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE GspUserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString()
Lib_Network\s_COdbcUser.cpp:183 [printf] HIGH | UPDATE GSUserInfo WITH (UPDLOCK) SET ChatBlockDate | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE GSUserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString(),
Lib_Network\s_COdbcUser.cpp:190 [printf] HIGH | UPDATE UserInfo WITH (UPDLOCK) SET ChatBlockDate=' | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE UserInfo WITH (UPDLOCK) SET ChatBlockDate='%s' WHERE UserNum=%d", strTime.GetString(), n
Lib_Network\s_COdbcUser.cpp:340 [printf] MEDIUM(no-exec-in-window) | UPDATE DaumUserInfo SET PremiumDate='%s' WHERE Use | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE DaumUserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:345 [printf] MEDIUM(no-exec-in-window) | UPDATE JapanUserInfo SET PremiumDate='%s' WHERE Us | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE JapanUserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:352 [printf] HIGH | UPDATE TerraUserInfo SET PremiumDate='%s' WHERE Us | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE TerraUserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:359 [printf] HIGH | UPDATE TerraUserInfo SET PremiumDate='%s' WHERE Us | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE TerraUserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:366 [printf] HIGH | UPDATE UserInfo SET PremiumDate='%s' WHERE UserNum | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE UserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:373 [printf] HIGH | UPDATE GspUserInfo SET PremiumDate='%s' WHERE User | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE GspUserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:380 [printf] HIGH | UPDATE GSUserInfo SET PremiumDate='%s' WHERE UserN | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE GSUserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:387 [printf] HIGH | UPDATE UserInfo SET PremiumDate='%s' WHERE UserNum | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE UserInfo SET PremiumDate='%s' WHERE UserNum=%d", strTime.GetString(), nUserNum );
Lib_Network\s_COdbcUser.cpp:656 [printf] MEDIUM(no-exec-in-window) | {call daum_user_logout('%s',%d,%d,%d,%d,%d)} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call daum_user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, n
Lib_Network\s_COdbcUser.cpp:661 [printf] MEDIUM(no-exec-in-window) | {call user_logout('%s',%d,%d,%d,%d,%d,%d,%d)} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call user_logout('%s',%d,%d,%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, 
Lib_Network\s_COdbcUser.cpp:667 [printf] MEDIUM(no-exec-in-window) | {call Japan_user_logout('%s',%d,%d,%d,%d,%d)} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call Japan_user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, 
Lib_Network\s_COdbcUser.cpp:679 [printf] MEDIUM(no-exec-in-window) | {call terra_user_logout('%s',%d,%d,%d,%d,%d,%d,%d) | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call terra_user_logout('%s',%d,%d,%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSv
Lib_Network\s_COdbcUser.cpp:681 [printf] MEDIUM(no-exec-in-window) | {call terra_user_logout('%s',%d,%d,%d,%d,%d)} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call terra_user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, 
Lib_Network\s_COdbcUser.cpp:693 [printf] MEDIUM(no-exec-in-window) | {call terra_user_logout('%s',%d,%d,%d,%d,%d)} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call terra_user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, 
Lib_Network\s_COdbcUser.cpp:704 [printf] HIGH | {call user_logout('%s',%d,%d,%d,%d,%d)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, nSvrNu
Lib_Network\s_COdbcUser.cpp:715 [printf] HIGH | {call gsp_user_logout('%s',%d,%d,%d,%d,%d)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call gsp_user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, nS
Lib_Network\s_COdbcUser.cpp:726 [printf] HIGH | {call GS_user_logout('%s',%d,%d,%d,%d,%d)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call GS_user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, nSv
Lib_Network\s_COdbcUser.cpp:737 [printf] HIGH | {call user_logout('%s',%d,%d,%d,%d,%d)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "{call user_logout('%s',%d,%d,%d,%d,%d)}", szUsrID, nUsrNum, nGameTime, nChaNum, nSvrGrp, nSvrNu
Lib_Network\s_COdbcUser.cpp:765 [printf] MEDIUM(no-exec-in-window) | {call Daum_UserLogoutSimple('%s')} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Daum_UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:773 [printf] HIGH | {call Japan_UserLogoutSimple('%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Japan_UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:779 [printf] HIGH | {call Terra_UserLogoutSimple('%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Terra_UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:785 [printf] HIGH | {call Terra_UserLogoutSimple('%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Terra_UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:791 [printf] HIGH | {call UserLogoutSimple('%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:797 [printf] HIGH | {call Gsp_UserLogoutSimple('%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Gsp_UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:803 [printf] HIGH | {call GS_UserLogoutSimple('%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call GS_UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:809 [printf] HIGH | {call UserLogoutSimple('%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call UserLogoutSimple('%s')}", szUsrID );
Lib_Network\s_COdbcUser.cpp:994 [printf] MEDIUM(no-exec-in-window) | {call Daum_UpdateChaName(%d,'%s')} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Daum_UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1003 [printf] MEDIUM(no-exec-in-window) | {call Japan_UpdateChaName(%d,'%s')} | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Japan_UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1010 [printf] HIGH | {call Terra_UpdateChaName(%d,'%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Terra_UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1017 [printf] HIGH | {call Terra_UpdateChaName(%d,'%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Terra_UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1024 [printf] HIGH | {call UpdateChaName(%d,'%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1031 [printf] HIGH | {call Gsp_UpdateChaName(%d,'%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call Gsp_UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1038 [printf] HIGH | {call GS_UpdateChaName(%d,'%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call GS_UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1045 [printf] HIGH | {call UpdateChaName(%d,'%s')} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call UpdateChaName(%d,'%s')}", nUsrNum, szChaName );
Lib_Network\s_COdbcUser.cpp:1077 [printf] HIGH | SELECT UserNum FROM DaumUserInfo WITH (NOLOCK)  WH | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM DaumUserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1084 [printf] HIGH | SELECT UserNum FROM JapanUserInfo WITH (NOLOCK)  W | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM JapanUserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1089 [printf] HIGH | SELECT UserNum FROM TerraUserInfo WITH (NOLOCK)  W | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM TerraUserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1094 [printf] HIGH | SELECT UserNum FROM TerraUserInfo WITH (NOLOCK)  W | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM TerraUserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1099 [printf] HIGH | SELECT UserNum FROM UserInfo WITH (NOLOCK)  WHERE  | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM UserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1104 [printf] HIGH | SELECT UserNum FROM GspUserInfo WITH (NOLOCK)  WHE | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM GspUserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1109 [printf] HIGH | SELECT UserNum FROM GSUserInfo WITH (NOLOCK)  WHER | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM GSUserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1114 [printf] HIGH | SELECT UserNum FROM UserInfo WITH (NOLOCK)  WHERE  | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT UserNum FROM UserInfo WITH (NOLOCK)  WHERE UserUID='%s'", szUsrId );
Lib_Network\s_COdbcUser.cpp:1169 [printf] HIGH | INSERT INTO BlockAddress (BlockAddress, BlockReaso | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "INSERT INTO BlockAddress (BlockAddress, BlockReason) VALUES('%s', '%s')", szIP, szReason );
Lib_Network\s_COdbcUser.cpp:1522 [printf] MEDIUM(no-exec-in-window) | UPDATE DaumUserInfo WITH (UPDLOCK) SET UserBlock=1 | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE DaumUserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTim
Lib_Network\s_COdbcUser.cpp:1532 [printf] MEDIUM(no-exec-in-window) | UPDATE JapanUserInfo WITH (UPDLOCK) SET UserBlock= | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE JapanUserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTi
Lib_Network\s_COdbcUser.cpp:1540 [printf] HIGH | UPDATE TerraUserInfo WITH (UPDLOCK) SET UserBlock= | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE TerraUserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTi
Lib_Network\s_COdbcUser.cpp:1548 [printf] HIGH | UPDATE TerraUserInfo WITH (UPDLOCK) SET UserBlock= | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE TerraUserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTi
Lib_Network\s_COdbcUser.cpp:1556 [printf] HIGH | UPDATE UserInfo WITH (UPDLOCK) SET UserBlock=1,Use | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE UserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTime.Ge
Lib_Network\s_COdbcUser.cpp:1564 [printf] HIGH | UPDATE GspUserInfo WITH (UPDLOCK) SET UserBlock=1, | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE GspUserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTime
Lib_Network\s_COdbcUser.cpp:1572 [printf] HIGH | UPDATE GSUserInfo WITH (UPDLOCK) SET UserBlock=1,U | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE GSUserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTime.
Lib_Network\s_COdbcUser.cpp:1580 [printf] HIGH | UPDATE UserInfo WITH (UPDLOCK) SET UserBlock=1,Use | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "UPDATE UserInfo WITH (UPDLOCK) SET UserBlock=1,UserBlockDate='%s' WHERE UserNum=%d", strTime.Ge
Lib_Network\s_COdbcUser.cpp:1818 [printf] HIGH | {call sp_UpdateMoneyPoint(%d,'%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_UpdateMoneyPoint(%d,'%s',?)}",
Lib_Network\s_COdbcUser.cpp:1832 [printf] HIGH | {call sp_DeductMoneyPoint(%d,'%s',?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_DeductMoneyPoint(%d,'%s',?)}",
Lib_Network\s_COdbcUserGetUserInfo.cpp:744 [printf] HIGH | SELECT CheckFlag FROM DaumUserInfo WHERE UserGID=' | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 256, "SELECT CheckFlag FROM DaumUserInfo WHERE UserGID='%s'", szGID );
Lib_Network\s_OdbcGameVehicle.cpp:32 [printf] HIGH | {call sp_InsertVehicle('%s',%d,%d,%d,%d,?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_InsertVehicle('%s',%d,%d,%d,%d,?)}",
GMTool\Logic\GMToolOdbcChar.cpp:240 [printf] MEDIUM(no-exec-in-window) | SELECT UserNum, ChaNum, ChaName, ChaClass, ChaScho | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT UserNum, ChaNum, ChaName, ChaClass, ChaSchool, ChaLevel, ChaOnline, ChaDeleted FROM Cha
GMTool\Logic\GMToolOdbcChar.cpp:244 [printf] MEDIUM(no-exec-in-window) | SELECT TOP %d UserNum, ChaNum, ChaName, ChaClass,  | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT TOP %d UserNum, ChaNum, ChaName, ChaClass, ChaSchool, ChaLevel, ChaOnline, ChaDeleted F
GMTool\Logic\GMToolOdbcChar.cpp:379 [printf] HIGH | SELECT ChaNum FROM ChaInfo WITH (NOLOCK) WHERE Cha | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT ChaNum FROM ChaInfo WITH (NOLOCK) WHERE ChaName = '%s' ",  strCHANAME.c_str() );
