"Class","Family","File","Line","Priority","Details","Snippet"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","662","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:Y;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGame.cpp","742","-","literal-only SQL (no interpolation): SELECT TOP 50  | exec:Y;esc:N","_snprintf(szTemp, 256, ""SELECT TOP 50 """
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","28","-","commented-out / in /* */ block","//strTemp << ""SELECT UserNum, SGNum, ChaName, ChaClass, ChaBright, ChaStartMap, "";"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","32","-","commented-out / in /* */ block","//strTemp << ""FROM ChaInfo WHERE ChaNum="" << nChaNum;"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","192","-","commented-out / in /* */ block","//strTemp << ""SELECT TOP 16 ChaNum FROM ChaInfo WITH (NOLOCK) WHERE UserNum="";"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","260","-","commented-out / in /* */ block","//strTemp << ""{call InsertPartyMatch("";"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","292","-","commented-out / in /* */ block","//strTemp << ""{call UpdateChaExp("";"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","327","-","commented-out / in /* */ block","//strTemp << ""SELECT ChaExp From ChaInfo "";"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","328","-","commented-out / in /* */ block","//strTemp << ""WHERE ChaNum="" << nChaNum;"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","387","-","commented-out / in /* */ block","//strTemp << ""{call UpdateChaLastCallPos("";"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","411","-","commented-out / in /* */ block","//strTemp << ""{call UpdateChaOnline("";"
"DEAD","concat/stream","Lib_Network\s_COdbcGame.cpp","431","-","commented-out / in /* */ block","//strTemp << ""{call UpdateChaOnline("";"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaCreate.cpp","19","-","literal-only SQL (no interpolation): INSERT INTO ChaInfo(UserNum, SGNum, ChaName, ChaTr | exec:N;esc:N","_snprintf( szTemp, 2048, ""INSERT INTO ChaInfo(UserNum, SGNum, ChaName, ChaTribe, ChaClass, """
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","193","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaSkills=? WHERE (ChaN | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaSkills=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","210","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaSkillSlot=? WHERE (C | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaSkillSlot=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","227","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaActionSlot=? WHERE ( | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaActionSlot=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","244","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaPutOnItems=? WHERE ( | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaPutOnItems=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","262","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaInven=? WHERE (ChaNu | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaInven=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","279","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaQuest=? WHERE (ChaNu | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaQuest=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","292","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaItemFood=? WHERE (Ch | exec:N;esc:N","_snprintf( szTemp, 256, ""UPDATE ChaInfo SET ChaInfo.ChaItemFood=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","303","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaActivity=? WHERE (Ch | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaActivity=? WHERE (ChaNum=%d)"", nChaNewNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaCreate.cpp","314","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaCodex=? WHERE (ChaNu | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaCodex=? WHERE (ChaNum=%d)"", nChaNewNum );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaCreate.cpp","362","-","literal-only SQL (no interpolation): INSERT INTO ChaLastInfo(ChaNum, ChaLevel, ChaMoney | exec:Y;esc:N","_snprintf( szTemp, 256, ""INSERT INTO ChaLastInfo(ChaNum, ChaLevel, ChaMoney )"""
"DEAD","comment-text","Lib_Network\s_COdbcGameChaCreate.cpp","134","-","commented-out / in /* */ block","(SQLCHAR*) ""SELECT @@IDENTITY"","
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaCreate.cpp","189","-","commented-out / in /* */ block","//strSkillls << ""UPDATE ChaInfo SET ChaInfo.ChaSkills=? WHERE (ChaNum="" <<  nChaNewNum << "")"";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaCreate.cpp","206","-","commented-out / in /* */ block","//strSkillSlot << ""UPDATE ChaInfo SET ChaInfo.ChaSkillSlot=? WHERE (ChaNum="" <<  nChaNewNum << "")"";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaCreate.cpp","223","-","commented-out / in /* */ block","//strActionSlot << ""UPDATE ChaInfo SET ChaInfo.ChaActionSlot=? WHERE (ChaNum="" <<  nChaNewNum << "")"";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaCreate.cpp","240","-","commented-out / in /* */ block","//strPutOnItems << ""UPDATE ChaInfo SET ChaInfo.ChaPutOnItems=? WHERE (ChaNum="" <<  nChaNewNum << "")"";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaCreate.cpp","258","-","commented-out / in /* */ block","//strInven << ""UPDATE ChaInfo SET ChaInfo.ChaInven=? WHERE (ChaNum="" <<  nChaNewNum << "")"";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaCreate.cpp","275","-","commented-out / in /* */ block","//strQuest << ""UPDATE ChaInfo SET ChaInfo.ChaQuest=? WHERE (ChaNum="" <<  nChaNewNum << "")"";"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaDelete.cpp","25","-","placeholder stmt: {call sp_delete_character(%d, ?)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call sp_delete_character(%d, ?)}"", nChaNum );"
"VULNERABLE","printf","Lib_Network\s_COdbcGameChaDelete.cpp","43","HIGH","{call sp_UserCheckPass(%d,'%s', ?)} | exec:Y;esc:N | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_UserCheckPass(%d,'%s', ?)}"", nUsrNum, szPass2 );"
"VULNERABLE","printf","Lib_Network\s_COdbcGameChaDelete.cpp","66","HIGH","SELECT UserNum FROM UserInfo WITH (NOLOCK) WHERE U | exec:Y;esc:N | interp:%s-family","_snprintf( szTemp, 512, ""SELECT UserNum FROM UserInfo WITH (NOLOCK) WHERE UserNum=%d AND UserPass2='%s'"", nUsrNum, szPas"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaDelete.cpp","20","-","commented-out / in /* */ block","//strTemp << ""{call sp_delete_character("";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaDelete.cpp","58","-","commented-out / in /* */ block","//strTemp << ""SELECT UserNum FROM UserInfo WITH (NOLOCK) WHERE UserNum="";"
"ESCAPED","printf","Lib_Network\s_COdbcGameChaEquipmentLock.cpp","34","MEDIUM","{call sp_InsertEquipmentPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_InsertEquipmentPass(%d,'%s','%s',?)}"", dwChaNum, strName.GetString(), strEPin.GetStrin"
"ESCAPED","printf","Lib_Network\s_COdbcGameChaEquipmentLock.cpp","64","MEDIUM","{call sp_CheckEquipmentPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_CheckEquipmentPass(%d,'%s','%s',?)}"", dwChaNum, strName.GetString(), strEPin.GetString"
"ESCAPED","printf","Lib_Network\s_COdbcGameChaEquipmentLock.cpp","91","MEDIUM","SELECT ChaEPass FROM ChaEquipmentPass WHERE ChaNum | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 256, ""SELECT ChaEPass FROM ChaEquipmentPass WHERE ChaNum=%u And ChaName='%s'"", dwChaNum, strName.GetS"
"ESCAPED","printf","Lib_Network\s_COdbcGameChaEquipmentLock.cpp","172","MEDIUM","{call sp_ChangeEquipmentPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_ChangeEquipmentPass(%d,'%s','%s',?)}"", dwChaNum, strName.GetString(), strEPin.GetStrin"
"ESCAPED","printf","Lib_Network\s_COdbcGameChaEquipmentLock.cpp","193","MEDIUM","{call sp_DeleteEquipmentPass(%d,'%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_DeleteEquipmentPass(%d,'%s',?)}"", dwChaNum, strName.GetString() );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaGet.cpp","25","-","literal-only SQL (no interpolation): SELECT UserNum,SGNum,ChaName,ChaTribe,ChaClass, | exec:Y;esc:N","_snprintf( szTemp, 2048, ""SELECT UserNum,SGNum,ChaName,ChaTribe,ChaClass,"""
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaGet.cpp","538","-","literal-only SQL (no interpolation): SELECT ChaName, ChaClass, ChaSchool, ChaDex, ChaIn | exec:Y;esc:N","_snprintf( szTemp, 512, ""SELECT ChaName, ChaClass, ChaSchool, ChaDex, ChaIntel, ChaPower,"""
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaGet.cpp","702","-","numeric-only dynamic SQL (not injectable): SELECT ChaPhone FROM ChaSmsInfo WHERE ChaNum=%d | exec:Y;esc:N","_snprintf( szTemp, 128, ""SELECT ChaPhone FROM ChaSmsInfo WHERE ChaNum=%d"", nChaNum );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaGet.cpp","764","-","numeric-only dynamic SQL (not injectable): SELECT saveMoney, saveExp, itemCount FROM ChaInfo  | exec:Y;esc:N","_snprintf( szTemp, 128, ""SELECT saveMoney, saveExp, itemCount FROM ChaInfo WHERE ChaNum=%d"", nChaNum );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaGet.cpp","822","-","numeric-only dynamic SQL (not injectable): SELECT ChaMoney,ChaLevel FROM ChaLastInfo WHERE Ch | exec:Y;esc:N","_snprintf( szTemp, 128, ""SELECT ChaMoney,ChaLevel FROM ChaLastInfo WHERE ChaNum=%d"", nChaNum );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaGet.cpp","894","-","numeric-only dynamic SQL (not injectable): SELECT UserMoney FROM UserLastInfo WHERE UserNum=% | exec:Y;esc:N","_snprintf( szTemp, 128, ""SELECT UserMoney FROM UserLastInfo WHERE UserNum=%d"", nUserNum );"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaGet.cpp","448","-","commented-out / in /* */ block","//strPutOnItems << ""SELECT ChaInfo.ChaPutOnItems FROM ChaInfo where (ChaNum="" <<  nChaNum << "")"";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaGet.cpp","462","-","commented-out / in /* */ block","//strChaInven << ""SELECT ChaInfo.ChaInven FROM ChaInfo where (ChaNum="" <<  nChaNum << "")"";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaGet.cpp","679","-","commented-out / in /* */ block","//strPutOnItems << ""SELECT ChaInfo.ChaPutOnItems FROM ChaInfo where (ChaNum="" <<  nChaNum << "")"";"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaHair.cpp","26","-","placeholder stmt: {call UpdateChaHairColor(%u,%d,?)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateChaHairColor(%u,%d,?)}"", dwChaNum, nHairColor );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaHair.cpp","52","-","placeholder stmt: {call UpdateChaHairStyle(%u,%d,?)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateChaHairStyle(%u,%d,?)}"", dwChaNum, nHairStyle );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaHair.cpp","75","-","placeholder stmt: {call UpdateChaFaceStyle(%u,%d,?)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call UpdateChaFaceStyle(%u,%d,?)}"", dwChaNum, nFaceStyle );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaHair.cpp","94","-","placeholder stmt: {call sp_UpdateChaGender(%u,%d,%d,%d,%d,%d,?)} | exec:Y;esc:N","_snprintf( szTemp, 128, ""{call sp_UpdateChaGender(%u,%d,%d,%d,%d,%d,?)}"","
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaHair.cpp","19","-","commented-out / in /* */ block","//strTemp << ""{call UpdateChaHairColor("";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaHair.cpp","45","-","commented-out / in /* */ block","//strTemp << ""{call UpdateChaHairStyle("";"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaHair.cpp","68","-","commented-out / in /* */ block","//strTemp << ""{call UpdateChaHairStyle("";"
"ESCAPED","printf","Lib_Network\s_COdbcGameChaRename.cpp","38","MEDIUM","{call RenameCharacter(%d,'%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call RenameCharacter(%d,'%s',?)}"", dwChaNum, strName.GetString() );"
"DEAD","concat/stream","Lib_Network\s_COdbcGameChaRename.cpp","31","-","commented-out / in /* */ block","//strTemp << ""{call RenameCharacter("";"
"ESCAPED","printf","Lib_Network\s_COdbcGameCharInventoryLock.cpp","34","MEDIUM","{call sp_InsertInventoryPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_InsertInventoryPass(%d,'%s','%s',?)}"", dwChaNum, strName.GetString(), strSPin.GetStrin"
"ESCAPED","printf","Lib_Network\s_COdbcGameCharInventoryLock.cpp","64","MEDIUM","{call sp_CheckInventoryPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_CheckInventoryPass(%d,'%s','%s',?)}"", dwChaNum, strName.GetString(), strSPin.GetString"
"ESCAPED","printf","Lib_Network\s_COdbcGameCharInventoryLock.cpp","91","MEDIUM","SELECT ChaIPass FROM ChaInventoryPass WHERE ChaNum | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 256, ""SELECT ChaIPass FROM ChaInventoryPass WHERE ChaNum=%u And ChaName='%s'"", dwChaNum, strName.GetS"
"ESCAPED","printf","Lib_Network\s_COdbcGameCharInventoryLock.cpp","172","MEDIUM","{call sp_ChangeInventoryPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_ChangeInventoryPass(%d,'%s','%s',?)}"", dwChaNum, strName.GetString(), strSPin.GetStrin"
"ESCAPED","printf","Lib_Network\s_COdbcGameCharInventoryLock.cpp","193","MEDIUM","{call sp_DeleteInventoryPass(%d,'%s',?)} | exec:Y;esc:Y | interp:%s-family","_snprintf( szTemp, 128, ""{call sp_DeleteInventoryPass(%d,'%s',?)}"", dwChaNum, strName.GetString() );"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaSave.cpp","35","-","numeric-only dynamic SQL (not injectable): UPDATE ChaInfo SET ChaBright=%d, ChaLevel=%u, ChaM | exec:N;esc:N","_snprintf( szTemp, 2048, ""UPDATE ChaInfo SET ChaBright=%d, ChaLevel=%u, ChaMoney=%I64d, """
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","151","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaSkills=? WHERE (ChaN | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaSkills=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","169","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaSkillSlot=? WHERE (C | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaSkillSlot=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","188","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaActionSlot=? WHERE ( | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaActionSlot=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","206","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaPutOnItems=? WHERE ( | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaPutOnItems=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","225","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaInven=? WHERE (ChaNu | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaInven=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","245","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.VTAddInven=? WHERE (Cha | exec:Y;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.VTAddInven=? WHERE (ChaNum=%u)"", dwChaNum );"
"VULNERABLE","printf","Lib_Network\s_COdbcGameChaSave.cpp","273","HIGH","Exec sp_InsertChaLastInfo %d, '%s', %u | exec:Y;esc:N | interp:%s-family","_snprintf( szTemp1, 512, ""Exec sp_InsertChaLastInfo %d, '%s', %u"","
"VULNERABLE","printf","Lib_Network\s_COdbcGameChaSave.cpp","295","HIGH","Exec sp_InsertUserLastInfo %u, '%s' | exec:Y;esc:N | interp:%s-family","_snprintf( szTemp2, 512, ""Exec sp_InsertUserLastInfo %u, '%s'"","
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","314","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaQuest=? WHERE (ChaNu | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaQuest=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","331","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaCoolTime=? WHERE (Ch | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaCoolTime=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","345","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaItemFood=? WHERE (Ch | exec:N;esc:N","_snprintf( szTemp, 256, ""UPDATE ChaInfo SET ChaInfo.ChaItemFood=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","358","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaActivity=? WHERE (Ch | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaActivity=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","369","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaCodex=? WHERE (ChaNu | exec:N;esc:N","_snprintf( szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaCodex=? WHERE (ChaNum=%u)"", dwChaNum );"
"PARAMETERIZED","printf","Lib_Network\s_COdbcGameChaSave.cpp","380","-","placeholder stmt: UPDATE ChaInfo SET ChaInfo.ChaPandora=? WHERE (Cha | exec:N;esc:N","_snprintf(szTemp, 128, ""UPDATE ChaInfo SET ChaInfo.ChaPandora=? WHERE (ChaNum=%u)"", dwChaNum);"
"FALSE_POSITIVE","printf","Lib_Network\s_COdbcGameChaSave.cpp","437","-","literal-only SQL (no interpolation): UPDATE ChaInfo SET  | exec:Y;esc:N","_snprintf( szTemp, 512, ""UPDATE ChaInfo SET """
